OrderNumber,OrderDate,ShipDate,ShipmentCost,RequestedShippingService,ShippedCarrier,ShippedService,Weight,Length,Width,Height,OrderTotal,Warehouse,Account
6668253,2023-02-03 00:43:31,2023-02-03 00:00:00,12.51,Amazon Merchants@ - Expedited,canada_post,expedited_parcel,4.90,10.00,6.00,1.00,21.41,"New Dundee, ON",partdiscounter
6668246,2023-02-03 00:47:09,2023-02-03 00:00:00,4.20,STANDARD - BEST WAY AMAZON,stamps_com,usps_first_class_mail,4.20,16.00,10.00,1.00,12.97,FedEx Trade Network,mishon
6668241,2023-02-03 00:18:50,2023-02-03 00:00:00,11.85,Amazon Merchants@ - Expedited,canada_post,expedited_parcel,21.80,16.00,10.00,1.00,44.78,"New Dundee, ON",partdiscounter
6668240,2023-02-03 00:56:45,2023-02-03 00:00:00,11.97,STANDARD - BEST WAY EBAY,fedex,fedex_home_delivery,165.40,12.00,12.00,12.00,55.90,FedEx Trade Network,mishon
6668238,2023-02-03 00:59:13,2023-02-03 00:00:00,4.20,STANDARD - BEST WAY EBAY,stamps_com,usps_first_class_mail,7.00,16.00,10.00,1.00,19.95,FedEx Trade Network,mishon
6668237,2023-02-03 00:53:26,2023-02-03 00:00:00,8.70,STANDARD - BEST WAY EBAY,stamps_com,usps_priority_mail,28.20,16.00,10.00,1.00,23.95,FedEx Trade Network,mishon
6668233,2023-02-02 23:59:03,2023-02-03 00:00:00,12.51,Amazon Merchants@ - Expedited,canada_post,expedited_parcel,6.30,10.00,6.00,1.00,21.41,"New Dundee, ON",partdiscounter
6668231,2023-02-03 00:31:55,2023-02-03 00:00:00,69.81,,fedex,fedex_economy_international,91.50,11.50,8.50,6.50,109.90,"New Dundee, ON",partdiscounter
6668230,2023-02-03 00:23:05,2023-02-03 00:00:00,3.90,STANDARD - BEST WAY AMAZON,stamps_com,usps_first_class_mail,2.80,16.00,10.00,1.00,8.62,FedEx Trade Network,mishon
6668227,2023-02-03 00:00:19,2023-02-03 00:00:00,10.05,(NO SMARTPOST/MAIL INNOV) - BEST WAY SHOPIFY,fedex,fedex_smartpost_parcel_select,37.00,11.50,8.50,6.50,42.44,FedEx Trade Network,mishon
6668223,2023-02-02 23:57:41,2023-02-03 00:00:00,12.66,STANDARD - BEST WAY AMAZON,fedex,fedex_home_delivery,239.40,41.00,4.00,4.00,162.32,FedEx Trade Network,mishon
6668219,2023-02-03 00:01:49,2023-02-03 00:00:00,4.44,STANDARD - BEST WAY EBAY,stamps_com,usps_first_class_mail,4.20,10.00,6.00,1.00,13.95,FedEx Trade Network,mishon
6668212,2023-02-02 23:40:03,2023-02-03 00:00:00,8.70,STANDARD - BEST WAY AMAZON,stamps_com,usps_priority_mail,44.40,16.00,10.00,1.00,35.82,FedEx Trade Network,mishon
6668208,2023-02-02 23:38:41,2023-02-03 00:00:00,8.59,STANDARD - BEST WAY EBAY,fedex,fedex_smartpost_parcel_select,64.10,16.00,10.00,1.00,37.95,FedEx Trade Network,mishon
6668206,2023-02-02 23:13:37,2023-02-03 00:00:00,11.16,STANDARD - BEST WAY AMAZON,fedex,fedex_smartpost_parcel_select,45.10,11.50,8.50,6.50,64.95,FedEx Trade Network,mishon
