"Account","Order Date","ChannelAdvisor Order ID","Site Name","SKU","Quantity","Shipment Status Date","Distribution Center","Requested Shipping Carrier Name","Requested Shipping Class Name"
"BW - MISHON","1/17/2023 12:47 PM","6625398","Amazon Seller Central - US","15FBA_C-BLT-0197","2","1/23/2023 6:12 AM","Amazon FBA US Mishon Corporation","AMZN_US","Expedited"
"BW - MISHON","1/19/2023 3:09 PM","6630463","Amazon Seller Central - US","15FBA_K-CVB-0072","1","1/23/2023 6:13 PM","Amazon FBA US Mishon Corporation","UPS","Ground"
"BW - MISHON","1/19/2023 5:46 PM","6630458","Amazon Seller Central - US","15FBA_C-SMO-0181","1","1/23/2023 6:13 PM","Amazon FBA US Mishon Corporation","US Postal Service","Priority Mail"
"BW - MISHON","1/19/2023 8:02 PM","6631268","Amazon Seller Central - US","15FBA_C-CLP-0003","1","1/23/2023 12:13 PM","Amazon FBA US Mishon Corporation","UPS","Ground"
"BW - MISHON","1/20/2023 4:41 PM","6632996","Amazon Seller Central - US","15FBA_C-BLT-0033","1","1/23/2023 6:12 AM","Amazon FBA US Mishon Corporation","AMZN_US","Expedited"
"BW - MISHON","1/21/2023 7:46 PM","6635606","Amazon Seller Central - US","15MIS_K-PAD-0325","1","","MISHON - New Dundee","Amazon Merchants@","Standard"
"BW - MISHON","1/21/2023 7:46 PM","6635606","Amazon Seller Central - US","15MIS_K-PAD-0305","1","","MISHON - New Dundee","Amazon Merchants@","Standard"
"BW - MISHON","1/22/2023 1:46 AM","6636213","Amazon Seller Central - US","15MIS_C-PTO-0106","1","1/23/2023 9:18 AM","MISHON - New Dundee","Amazon Merchants@","Standard"
"BW - MISHON","1/22/2023 2:15 PM","6637946","Amazon Seller Central - US","15FBA_K-CVB-0064","1","1/23/2023 6:12 AM","Amazon FBA US Mishon Corporation","AMZN_US","Standard"
"BW - MISHON","1/22/2023 3:17 PM","6637942","Amazon Seller Central - US","15FBA_K-CVB-0005","1","1/23/2023 12:13 PM","Amazon FBA US Mishon Corporation","US Postal Service","Priority Mail"
"BW - MISHON","1/22/2023 3:32 PM","6637941","Amazon Seller Central - US","15FBA_K-CVB-0011","1","1/23/2023 6:12 AM","Amazon FBA US Mishon Corporation","AMZN_US","Expedited"
"BW - MISHON","1/22/2023 9:44 PM","6638984","Amazon Seller Central - US","15FBA_K-BRS-0009","1","1/23/2023 6:13 PM","Amazon FBA US Mishon Corporation","US Postal Service","Priority Mail"
"BW - MISHON","1/23/2023 12:00 AM","6638974","eBay Motors Fixed Price US","15MIS_C-CBL-0248","1","1/23/2023 8:36 AM","MISHON - New Dundee","STANDARD","BEST WAY EBAY"
"BW - MISHON","1/23/2023 12:00 AM","6638998","Amazon Seller Central - US","15MIS_C-CBL-0205","1","1/23/2023 6:35 AM","MISHON - New Dundee","Amazon Merchants@","Standard"
"BW - MISHON","1/23/2023 12:02 AM","6638978","eBay Fixed Price US","15MIS_C-CCH-0105","1","1/23/2023 9:55 AM","MISHONC - Chesterfield","STANDARD","BEST WAY EBAY"
